BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,299.19779888101,292.746079680652,311.637459297676,299.012848368764,306.5181321014,299.659290982382,304.548590091235,300.180747108209,300.697724609464,295.988057802602
CBS,299.19779888101,0,268.87245466462,285.368686815716,272.428575763281,286.27795374611,280.651156381079,281.452319715024,273.300569700171,277.933646878045,268.703502442044
CWHL,292.746079680652,268.87245466462,0,281.812830778776,264.71033257661,279.558118041698,271.189416745957,272.169490863996,265.877383935194,268.05112030607,261.343117557288
DLS,311.637459297676,285.368686815716,281.812830778776,0,283.568111692493,298.816250485643,293.901035495923,293.199219375446,284.603140922768,289.126006627631,280.00797477396
GTS,299.012848368764,272.428575763281,264.71033257661,283.568111692493,0,284.674127724058,277.870276245475,275.377866802808,267.004297656861,271.862364656224,262.301530430491
HARV,306.5181321014,286.27795374611,279.558118041698,298.816250485643,284.674127724058,0,289.176022330448,291.882739677932,285.726898727025,288.086532417201,281.442011477519
MLBS,299.659290982382,280.651156381079,271.189416745957,293.901035495923,277.870276245475,289.176022330448,0,283.555938543298,278.808297589437,279.372745171432,274.628671217821
OSBS,304.548590091235,281.452319715024,272.169490863996,293.199219375446,275.377866802808,291.882739677932,283.555938543298,0,276.83401593592,278.633434089157,272.679195473775
SNJ,300.180747108209,273.300569700171,265.877383935194,284.603140922768,267.004297656861,285.726898727025,278.808297589437,276.83401593592,0,273.304521920303,263.51609247605
TALL,300.697724609464,277.933646878045,268.05112030607,289.126006627631,271.862364656224,288.086532417201,279.372745171432,278.633434089157,273.304521920303,0,268.86706910585
TMS,295.988057802602,268.703502442044,261.343117557288,280.00797477396,262.301530430491,281.442011477519,274.628671217821,272.679195473775,263.51609247605,268.86706910585,0
