BART,CBS,CWHL,DLS,GTS,HARV,MLBS,OSBS,SNJ,TALL,TMS
BART,0,83.1444861018291,75.551513663199,103.085801435326,136.783305168136,54.4746577738506,53.6255301352696,118.116702735249,139.951442209707,89.2884027784148,128.297729592763
CBS,83.1444861018291,0,57.703717715383,33.2744013548879,85.8354868998156,45.5083627731305,76.929764331136,93.2730930673827,76.3216513942886,78.75636461692,73.8630297369557
CWHL,75.551513663199,57.703717715383,0,71.4481551344497,81.3945819096857,31.749163636638,43.2451968317816,65.0216904020773,73.5465126523395,40.5686515969817,74.9996698947502
DLS,103.085801435326,33.2744013548879,71.4481551344497,0,83.7908821013498,58.6236038920016,96.969388096116,102.720010256404,75.2850348783863,83.4225871555544,72.8996429974092
GTS,136.783305168136,85.8354868998156,81.3945819096857,83.7908821013498,0,81.512243750561,119.366482748768,81.1096758365615,22.5728969858128,71.2216470160848,16.3857308509367
HARV,54.4746577738506,45.5083627731305,31.749163636638,58.6236038920016,81.512243750561,0,48.5900859824764,76.4053150862302,71.8063362314529,55.9545635001052,76.5387254631425
MLBS,53.6255301352696,76.929764331136,43.2451968317816,96.969388096116,119.366482748768,48.5900859824764,0,87.7017406481308,107.531602001789,60.7303226709307,108.674105844196
OSBS,118.116702735249,93.2730930673827,65.0216904020773,102.720010256404,81.1096758365615,76.4053150862302,87.7017406481308,0,79.9175783949698,48.6412877146566,78.7742108529507
SNJ,139.951442209707,76.3216513942886,73.5465126523395,75.2850348783863,22.5728969858128,71.8063362314529,107.531602001789,79.9175783949698,0,73.6390776491808,22.3211299024824
TALL,89.2884027784148,78.75636461692,40.5686515969817,83.4225871555544,71.2216470160848,55.9545635001052,60.7303226709307,48.6412877146566,73.6390776491808,0,67.793564458001
TMS,128.297729592763,73.8630297369557,74.9996698947502,72.8996429974092,16.3857308509367,76.5387254631425,108.674105844196,78.7742108529507,22.3211299024824,67.793564458001,0
