"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"BART",72,67.3054432388888,108.457570857696,10.3808984075556,1,-3.96421639083329,0.001,999,3.96421639083329
"CBS",1140,29.0986284919908,35.519973383968,1.11608566680132,1,-5.75345162381731,0.001,999,5.75345162381731
"CWHL",588,39.9080023140647,46.0012630804937,1.92546330329528,2,-3.16456862927525,0.002,999,3.16456862927525
"DLS",773,32.1467790310469,41.2145106652066,1.53190103351929,1,-5.91926726058019,0.001,999,5.91926726058019
"GTS",1209,34.5129952821239,34.8082149182086,1.07732841459315,401,-0.27402937867946,0.401,999,0.27402937867946
"HARV",803,34.4222341552869,40.7074170884842,1.53063856643177,1,-4.10624890227964,0.001,999,4.10624890227964
"MLBS",153,68.8786316038753,80.6741854114312,5.89300048119377,25,-2.00162104944651,0.025,999,2.00162104944651
"OSBS",642,39.8884662934476,44.3299203860518,1.7603251148895,2,-2.52308738598152,0.002,999,2.52308738598152
"SNJ",1559,29.5299566593721,31.6343433145382,0.902746624937162,13,-2.33109335115223,0.013,999,2.33109335115223
"TALL",352,53.8902911328616,56.7227348995651,2.9274674965669,164,-0.967540637095105,0.164,999,0.967540637095105
"TMS",1188,32.9101677939289,35.0030188112763,1.10518008376699,28,-1.89367420575832,0.028,999,1.89367420575832
