"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"BART",72,311.260883728325,257.147928018891,11.2990779541975,1000,4.78914792240475,1,999,-4.78914792240475
"CBS",1140,253.778096860141,256.875289403669,2.41365321306032,97,-1.28319699233023,0.097,999,1.28319699233023
"CWHL",588,250.020342127281,257.120814487286,3.74352526074156,13,-1.89673419182388,0.013,999,1.89673419182388
"DLS",773,257.791753891679,256.902018153665,3.062009785442,629,0.290572467222235,0.629,999,-0.290572467222235
"GTS",1209,258.622018442257,257.069266502955,2.36689395041588,741,0.656029366685179,0.741,999,-0.656029366685179
"HARV",803,259.273917748157,257.056279933388,3.14398198782739,771,0.705359580097782,0.771,999,-0.705359580097782
"MLBS",153,270.919846585577,257.15652515383,7.85792300318296,942,1.7515215440737,0.942,999,-1.7515215440737
"OSBS",642,250.307250122364,257.003540664354,3.28498455114505,17,-2.03845419597352,0.017,999,2.03845419597352
"SNJ",1559,258.23477831569,256.990979842876,1.98636581995616,742,0.626167879208216,0.742,999,-0.626167879208216
"TALL",352,257.29036403445,257.150874694615,4.861685050774,538,0.0286915623654015,0.538,999,-0.0286915623654015
"TMS",1188,254.599596864222,256.941422606399,2.50191167514704,184,-0.936014554566107,0.184,999,0.936014554566107
