"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"BART",21,60.9912297142856,125.004723632605,26.8784653238244,4,-2.38159036042803,0.004,999,2.38159036042803
"CBS",46,47.8023447423287,76.544980559244,12.6440901757473,8,-2.27320712027559,0.008,999,2.27320712027559
"CWHL",56,84.9794807593357,67.0303653646281,9.87580368625489,963,1.81748402104115,0.963,999,-1.81748402104115
"DLS",34,61.0650336470588,93.6240179822765,17.3760195433708,28,-1.87378842743299,0.028,999,1.87378842743299
"GTS",99,54.0670663339258,48.7811871006415,5.71971228681183,818,0.924151245417033,0.818,999,-0.924151245417033
"HARV",59,66.1371878305084,65.4439123743518,9.73595317926949,547,0.0712077639848204,0.547,999,-0.0712077639848204
"MLBS",28,132.456975642857,105.138862906568,20.0513941827353,905,1.36240465312935,0.905,999,-1.36240465312935
"OSBS",31,97.0324037588,99.2611673542416,18.7856932659788,468,-0.118641540872913,0.468,999,0.118641540872913
"SNJ",141,40.7231137106683,40.4565756434304,4.06897133736465,536,0.0655050245231151,0.536,999,-0.0655050245231151
"TALL",56,87.6534868097021,67.5375126056761,10.1333616343146,976,1.98512348912007,0.976,999,-1.98512348912007
"TMS",108,53.2811238426815,46.4577614428635,5.17615180944276,918,1.31823073414701,0.918,999,-1.31823073414701
