"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"BART",21,330.332527542857,283.966811644633,35.8436403137123,892,1.2935548814914,0.892,999,-1.2935548814914
"CBS",46,285.495142763356,283.102556449408,22.9363126656514,539,0.104314339834188,0.539,999,-0.104314339834188
"CWHL",56,283.960951631339,282.864823010396,20.7531018456476,548,0.0528175801909303,0.548,999,-0.0528175801909303
"DLS",34,264.184530231729,284.910823468503,27.6681424992392,243,-0.749103169370469,0.243,999,0.749103169370469
"GTS",99,267.500340855489,284.015838089179,14.4670222001391,134,-1.14159617682287,0.134,999,1.14159617682287
"HARV",59,300.129125473992,283.395979399792,20.6073586501513,789,0.811998585470184,0.789,999,-0.811998585470184
"MLBS",28,343.939490920635,284.078146880143,31.5250999791797,964,1.89884707994668,0.964,999,-1.89884707994668
"OSBS",31,331.034405884433,283.278191215551,28.5313611212592,936,1.67381480560696,0.936,999,-1.67381480560696
"SNJ",141,268.598661019274,283.911936790618,11.5049190409306,97,-1.33101986349185,0.097,999,1.33101986349185
"TALL",56,295.456666996145,283.521741997081,20.9929273234025,726,0.56852123647185,0.726,999,-0.56852123647185
"TMS",108,261.721179283311,283.697995883924,13.4266758698734,52,-1.63680249777417,0.052,999,1.63680249777417
