"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"BART",21,1756.638457,2064.67285571145,264.681466508047,161,-1.16379285174499,0.161,999
"CBS",46,2858.60328203678,3294.93396851516,237.454820152082,46,-1.83753139312533,0.046,999
"CWHL",56,4092.5594331307,3655.8573591025,240.902694237674,972,1.81277372347421,0.972,999
"DLS",34,2210.311535,2778.57532168005,249.044233345385,26,-2.28177853807985,0.026,999
"GTS",99,5193.60331621774,4869.29718137362,254.853046887575,904,1.27252210167684,0.904,999
"HARV",59,3701.941184,3764.94765599978,241.503740682095,398,-0.260892323331433,0.398,999
"MLBS",28,2785.846714,2460.28069663332,256.025678399167,920,1.27161470444026,0.92,999
"OSBS",31,2646.3415321307,2620.1891916396,254.360508938075,513,0.102816040903071,0.513,999
"SNJ",141,5772.69852977546,5807.59788089102,250.014015859574,444,-0.139589578590519,0.444,999
"TALL",56,3984.39396190118,3645.46471997245,245.264319394889,922,1.38189379835162,0.922,999
"TMS",108,5348.141882709,5092.25880047238,249.650409126566,846,1.02496560342862,0.846,999
