"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"BART",10,114.45170712,164.634038513969,31.018236134139,56,-1.61783317326475,0.056,999,1.61783317326475
"CBS",921,29.3585630440018,31.0910090676765,1.07912280632984,51,-1.6054206374961,0.051,999,1.6054206374961
"CWHL",437,35.8168608179471,41.4232506014725,1.99102824876674,1,-2.81582633847512,0.001,999,2.81582633847512
"DLS",592,32.1415086028472,36.6981554763376,1.60920921116222,7,-2.83160625845499,0.007,999,2.83160625845499
"GTS",623,34.0960587675229,36.0209754192873,1.54234361117941,109,-1.24804656874904,0.109,999,1.24804656874904
"HARV",612,33.0253492289074,36.3517759576459,1.50788911615278,17,-2.20601547760061,0.017,999,2.20601547760061
"MLBS",80,73.36606914,81.0502739557132,7.69304074209813,162,-0.998851439023774,0.162,999,0.998851439023774
"OSBS",490,33.929551186842,39.5912856071908,1.87199605917268,2,-3.02443714697293,0.002,999,3.02443714697293
"SNJ",874,28.7167757630086,31.7203214226988,1.18684669359944,7,-2.53069387637689,0.007,999,2.53069387637689
"TALL",201,51.2791654598207,56.753001504542,3.76395840358529,74,-1.45427644458221,0.074,999,1.45427644458221
"TMS",703,31.1595697520877,34.4233580264293,1.3657085227018,10,-2.38981321423172,0.01,999,2.38981321423172
