"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"BART",10,235.001418613333,242.919747323816,10.2945359948398,182,-0.769177815731724,0.182,999,0.769177815731724
"CBS",921,244.081767200708,242.67593725208,0.68635524614599,984,2.04825410240782,0.984,999,-2.04825410240782
"CWHL",437,239.709612705983,242.615324798463,1.09667459768223,9,-2.6495663331865,0.009,999,2.6495663331865
"DLS",592,240.3862566825,242.688753044381,0.90301000880008,9,-2.54980159626502,0.009,999,2.54980159626502
"GTS",623,242.973094850643,242.673304777455,0.868478450434111,634,0.345189996409848,0.634,999,-0.345189996409848
"HARV",612,238.091677561038,242.623288651423,0.890930805731917,1,-5.08637827004133,0.001,999,5.08637827004133
"MLBS",80,245.744055326456,242.766251372601,2.65469677055766,886,1.12171152158718,0.886,999,-1.12171152158718
"OSBS",490,233.890398676703,242.580408971135,0.975119182036808,1,-8.91174171784913,0.001,999,8.91174171784913
"SNJ",874,243.718689460134,242.627333378457,0.718802167471971,949,1.51829826211429,0.949,999,-1.51829826211429
"TALL",201,231.93946921105,242.595152095336,1.66668296043187,1,-6.39334722755206,0.001,999,6.39334722755206
"TMS",703,244.096250059971,242.632445991258,0.838637187289999,964,1.74545571183543,0.964,999,-1.74545571183543
