"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"BART",10,866.0242498,1012.35767715196,101.291191705846,84,-1.44468067644938,0.084,999
"CBS",921,21234.8092475515,22879.7520508492,467.377480528813,1,-3.51951660451551,0.001,999
"CWHL",437,13022.2332123011,14373.0523393385,423.709109926474,2,-3.18808138742116,0.002,999
"DLS",592,15290.1226831775,17381.9782065738,445.427389893677,1,-4.69628848799727,0.001,999
"GTS",623,17439.3191987976,17942.6086808799,450.770416391347,136,-1.11650956624764,0.136,999
"HARV",612,16086.5347032209,17724.3951088044,460.844170481164,1,-3.55404388401714,0.001,999
"MLBS",80,4516.0899908,4737.69962405793,274.032147335502,197,-0.808699400463444,0.197,999
"OSBS",490,13618.2919000578,15426.861155757,438.335855321767,1,-4.12598977186469,0.001,999
"SNJ",874,21222.2396591433,22183.3086273918,469.804888563463,15,-2.0456768152991,0.015,999
"TALL",201,7940.02050865599,8752.84878771683,358.047202704063,21,-2.27017072866973,0.021,999
"TMS",703,18679.5330698455,19351.6837348536,451.934566793554,76,-1.48727429675692,0.076,999
