"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"BART",51,78.259336572549,118.395356747366,12.6643376820223,1,-3.16921588657509,0.001,999,3.16921588657509
"CBS",1094,29.062270878174,35.3359869666864,1.12630407620033,1,-5.57017968866562,0.001,999,5.57017968866562
"CWHL",532,38.7962998926769,46.7185915894148,2.06704235995758,1,-3.83267022012095,0.001,999,3.83267022012095
"DLS",739,31.8781370650808,41.0213885473134,1.59483112483588,1,-5.73305307367482,0.001,999,5.73305307367482
"GTS",1110,34.8144252881263,35.1380471819077,1.16375729071056,391,-0.278083666039835,0.391,999,0.278083666039835
"HARV",744,33.5699369091854,40.9036444795468,1.63152790177725,1,-4.4949936574009,0.001,999,4.4949936574009
"MLBS",125,67.6680333530521,85.5375559760494,6.67510719645092,2,-2.67703904927524,0.002,999,2.67703904927524
"OSBS",611,39.2630915873496,44.1605540249031,1.8847667128752,6,-2.59844489193172,0.006,999,2.59844489193172
"SNJ",1418,29.635848371216,32.1344439198113,0.950738206994028,6,-2.6280584184106,0.006,999,2.6280584184106
"TALL",296,52.1826977426485,59.7044582383855,3.30738223298887,17,-2.27423380966148,0.017,999,2.27423380966148
"TMS",1080,33.2100363799037,35.5435454672517,1.19108884300248,20,-1.95913940513932,0.02,999,1.95913940513932
