"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"BART",51,297.30128965302,253.879205960004,11.4830618957529,997,3.78140291215147,0.997,999,-3.78140291215147
"CBS",1094,251.561074021033,253.584573001487,2.28107607163705,191,-0.887080885032416,0.191,999,0.887080885032416
"CWHL",532,245.045219396329,253.71572204895,3.4499147377011,1,-2.51325128643583,0.001,999,2.51325128643583
"DLS",739,256.03161571374,253.449137304261,2.77493064080446,828,0.930646111114965,0.828,999,-0.930646111114965
"GTS",1110,256.889389557302,253.787242857224,2.23118484160749,917,1.39035845091301,0.917,999,-1.39035845091301
"HARV",744,254.233932112965,253.804089444266,2.95184158101333,575,0.145618474738989,0.575,999,-0.145618474738989
"MLBS",125,250.18480589246,254.223716432716,7.4337265357744,309,-0.54332245352568,0.309,999,0.54332245352568
"OSBS",611,244.770911299506,253.620749212148,3.23509057888844,2,-2.73557654626249,0.002,999,2.73557654626249
"SNJ",1418,255.906783780195,253.655376779423,1.84084352633982,896,1.22303007754694,0.896,999,-1.22303007754694
"TALL",296,247.000586389173,253.404469699025,4.81504091927076,79,-1.32997484698865,0.079,999,1.32997484698865
"TMS",1080,252.466165626184,253.758212781331,2.25599706394897,291,-0.572716682922066,0.291,999,0.572716682922066
