"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"BART",51,3379.1896868,4076.5780690821,348.068380056141,12,-2.00359590885449,0.012,999
"CBS",1094,25954.4796146656,31234.8200616132,609.392447833244,1,-8.66492596966432,0.001,999
"CWHL",532,17238.4725270317,20038.4284121043,532.339839821137,1,-5.25971508353274,0.001,999
"DLS",739,20505.8978012365,24518.1288521896,576.569705803976,1,-6.9587961534649,0.001,999
"GTS",1110,31780.2692320974,31577.525245027,608.657326700209,640,0.333100380421832,0.64,999
"HARV",744,20963.6068404094,24648.3528560812,571.129574952142,1,-6.45168132989889,0.001,999
"MLBS",125,6710.55646028288,7793.05853218648,427.918233500004,6,-2.5296937292194,0.006,999
"OSBS",611,19523.3507050807,21831.5297024818,557.009767168692,1,-4.14387526655712,0.001,999
"SNJ",1418,35821.6648635075,36705.2750112012,631.397205289208,86,-1.39945210446244,0.086,999
"TALL",296,12464.311318856,13835.5573559835,468.257857031337,1,-2.92839942039818,0.001,999
"TMS",1080,30534.9844852961,31048.7312691917,624.162133483815,209,-0.823098288625951,0.209,999
