"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"BART",62,60.0982332580645,104.950257580251,11.0730456378444,1,-4.05055896897016,0.001,999,4.05055896897016
"CBS",219,36.7439831476885,57.9962311652188,4.06565704917064,1,-5.22726038141008,0.001,999,5.22726038141008
"CWHL",151,61.8106498710119,68.9687198610393,5.53307280808843,100,-1.29368801718342,0.1,999,1.29368801718342
"DLS",181,39.0087362105728,63.2829812268736,4.75840647640313,1,-5.10133910095248,0.001,999,5.10133910095248
"GTS",586,39.2361151225404,38.6788163959909,1.74362976535569,633,0.319619874369281,0.633,999,-0.319619874369281
"HARV",191,48.6907069350997,61.6798024354192,4.56558083074339,4,-2.84500395061554,0.004,999,2.84500395061554
"MLBS",73,78.9024321989424,96.7071473498669,9.9819718371059,35,-1.78368717538745,0.035,999,1.78368717538745
"OSBS",152,72.1158921529,68.452449620456,5.62971248596799,736,0.650733503988892,0.736,999,-0.650733503988892
"SNJ",685,33.953073046941,36.4280523409052,1.52847191328543,48,-1.61925075132342,0.048,999,1.61925075132342
"TALL",151,64.2486898764458,69.1295399081988,5.33619782550491,170,-0.914668119765806,0.17,999,0.914668119765806
"TMS",485,41.6234283907896,41.6145024381252,1.98429277187402,511,0.00449830427796473,0.511,999,-0.00449830427796473
