"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"BART",62,317.982567954521,272.015367135417,18.784470985564,989,2.44708519363842,0.989,999,-2.44708519363842
"CBS",219,273.054765942958,271.495063818309,9.6428109865519,564,0.161747661218695,0.564,999,-0.161747661218695
"CWHL",151,261.067703953224,271.599284844827,11.962383036217,189,-0.880391545707743,0.189,999,0.880391545707743
"DLS",181,296.288182126768,271.672522651555,10.8513001131939,989,2.26845255577109,0.989,999,-2.26845255577109
"GTS",586,265.823534111447,271.54671887748,5.18572279698104,141,-1.10364263384166,0.141,999,1.10364263384166
"HARV",191,297.101062019436,271.508920145665,10.4908604755416,988,2.4394702353956,0.988,999,-2.4394702353956
"MLBS",73,283.124133707101,271.198948947776,17.0745620711762,761,0.698418191319603,0.761,999,-0.698418191319603
"OSBS",152,282.609839789209,272.309371182395,11.5541656872858,819,0.89149393262976,0.819,999,-0.89149393262976
"SNJ",685,267.871986900402,271.508924816642,4.67392000933763,213,-0.778134394464327,0.213,999,0.778134394464327
"TALL",151,275.466802554178,271.700542929352,11.3622136391328,635,0.33147234724177,0.635,999,-0.33147234724177
"TMS",485,258.895932023225,271.512225457173,5.93896046597997,12,-2.12432689293318,0.012,999,2.12432689293318
