,origin.tree$tip.label
1,Podocarpus_macrophyllus
2,Nageia_nagi
3,Cunninghamia_lanceolata
4,Cryptomeria_japonica
5,Taxodium_distichum
6,Taxodium_distichum_var._imbricatum
7,Juniperus_virginiana_var._silicola
8,Juniperus_virginiana
9,Juniperus_chinensis
10,Juniperus_communis
11,Juniperus_formosana
12,Juniperus_rigida
13,Callitropsis_funebris
14,Platycladus_orientalis
15,Thuja_occidentalis
16,Thuja_koraiensis
17,Metasequoia_glyptostroboides
18,Torreya_grandis
19,Amentotaxus_argotaenia
20,Cephalotaxus_oliveri
21,Cephalotaxus_sinensis
22,Cephalotaxus_fortunei
23,Taxus_cuspidata
24,Taxus_canadensis
25,Taxus_wallichiana_var._chinensis
26,Larix_kaempferi
27,Larix_gmelinii
28,Larix_gmelinii_var._principis-rupprechtii
29,Larix_gmelinii_var._olgensis
30,Larix_laricina
31,Larix_sp.
32,Pseudotsuga_sinensis
33,Pinus_taiwanensis
34,Pinus_tabuliformis
35,Pinus_densiflora
36,Pinus_resinosa
37,Pinus_sylvestris
38,Pinus_massoniana
39,Pinus_clausa
40,Pinus_virginiana
41,Pinus_palustris
42,Pinus_rigida
43,Pinus_taeda
44,Pinus_elliottii
45,Pinus_echinata
46,Pinus_henryi
47,Pinus_pumila
48,Pinus_koraiensis
49,Pinus_armandii
50,Pinus_strobus
51,Picea_mariana
52,Picea_rubens
53,Picea_pungens
54,Picea_abies
55,Picea_koraiensis
56,Picea_meyeri
57,Picea_obovata
58,Picea_glauca
59,Abies_holophylla
60,Abies_balsamea
61,Abies_fraseri
62,Abies_nephrolepis
63,Keteleeria_davidiana
64,Pseudolarix_amabilis
65,Tsuga_canadensis
66,Tsuga_chinensis
67,Tsuga_caroliniana
68,Cedrus_deodara
69,Zamia_pumila
70,Cycas_revoluta
71,Ephedra_equisetina
72,Ephedra_monosperma
73,Ginkgo_biloba
74,Vernicia_fordii
75,Vernicia_montana
76,Croton_glandulosus_var._glandulosus
77,Croton_michauxii
78,Croton_argyranthemus
79,Croton_sp.
80,Ditrysinia_fruticosa
81,Cnidoscolus_stimulosus
82,Euphorbia_helioscopia
83,Euphorbia_pekinensis
84,Euphorbia_sieboldiana
85,Euphorbia_cyparissias
86,Euphorbia_esula
87,Euphorbia_lucorum
88,Euphorbia_hylonoma
89,Euphorbia_pubentissima
90,Euphorbia_sikkimensis
91,Chamaesyce_maculata
92,Poinsettia_heterophylla
93,Euphorbia_corollata_var._corollata
94,Chamaesyce_hirta
95,Euphorbia_prostrata
96,Euphorbia_humifusa
97,Euphorbia_maculata
98,Chamaesyce_hyssopifolia
99,Euphorbia_hypericifolia
100,Euphorbia_supina
101,Stillingia_sylvatica
102,Neoshirakia_japonica
103,Triadica_sebifera
104,Mallotus_repandus
105,Mallotus_philippensis
106,Mallotus_apelta
107,Mallotus_nepalensis
108,Mallotus_stewardii
109,Mercurialis_leiocarpa
110,Acalypha_australis
111,Acalypha_virginica
112,Acalypha_gracilens
113,Acalypha_rhomboidea
114,Tragia_urens
115,Tragia_urticifolia
116,Linum_virginianum_var._virginianum
117,Linum_medium_var._texanum
118,Linum_stelleroides
119,Linum_striatum
120,Leptopus_chinensis
121,Securinega_suffruticosa
122,Phyllanthus_daltonii
123,Phyllanthus_matsumurae
124,Phyllanthus_tenellus
125,Phyllanthus_glaucus
126,Phyllanthus_ussuriensis
127,Phyllanthus_urinaria
128,Glochidion_wilsonii
129,Glochidion_puberum
130,Sauropus_androgynus
131,Flueggea_suffruticosa
132,Antidesma_japonicum
133,Antidesma_bunius
134,Passiflora_lutea
135,Passiflora_incarnata
136,Piriqueta_cistoides_subsp._caroliniana
137,Salix_fargesii
138,Salix_subfragilis
139,Salix_rosmarinifolia
140,Salix_linearistipularis
141,Salix_polyadenia
142,Salix_cheilophila
143,Chosenia_maximowiczii
144,Salix_moupinensis
145,Salix_starkeana
146,Salix_xerophila
147,Salix_disperma
148,Salix_sinica
149,Salix_cathayana
150,Salix_yanbianica
151,Salix_sp.
152,Salix_bebbiana
153,Salix_discolor
154,Salix_eriocephala
155,Salix_purpurea
156,Salix_raddeana
157,Salix_nummularia
158,Salix_myrtilloides
159,Salix_kangensis
160,Salix_integra
161,Salix_taraikensis
162,Salix_siuzevii
163,Salix_rorida
164,Salix_arbutifolia
165,Salix_schwerinii
166,Salix_viminalis
167,Salix_caprea
168,Salix_gracilistyla
169,Salix_rotundifolia
170,Salix_reinii
171,Salix_triandra
172,Salix_mesnyi
173,Salix_babylonica
174,Salix_pentandra
175,Salix_lucida
176,Salix_dunnii
177,Salix_rosthornii
178,Salix_matsudana
179,Salix_chienii
180,Salix_sericea
181,Salix_humilis
182,Salix_nigra
183,Salix_caroliniana
184,Populus_pseudosimonii
185,Populus_pseudomaximowiczii
186,Populus_x_jackii
187,Populus_x_canadensis
188,Populus_deltoides
189,Populus_balsamifera
190,Populus_koreana
191,Populus_ussuriensis
192,Populus_maximowiczii
193,Populus_cathayana
194,Populus_tremuloides
195,Populus_tomentosa
196,Populus_davidiana
197,Populus_adenopoda
198,Populus_grandidentata
199,Populus_nigra
200,Populus_lasiocarpa
201,Populus_sp.
202,Populus_candicans
203,Populus_simonii
204,Xylosma_congesta
205,Idesia_polycarpa
206,Viola_muehldorfii
207,Viola_eamesii
208,Viola_concordifolia
209,Viola_schneideri
210,Viola_epipsila
211,Viola_emarginata
212,Viola_diffusa_var._brevibarbata
213,Viola_pubescens_var._scabriuscula
214,Viola_dactyloides
215,Viola_selkirkii
216,Viola_inconspicua
217,Viola_betonicifolia
218,Viola_patrinii
219,Viola_papilionacea
220,Viola_phalacrocarpa
221,Viola_prionantha
222,Viola_variegata
223,Viola_philippica
224,Viola_mandshurica
225,Viola_dissecta
226,Viola_chaerophylloides
227,Viola_japonica
228,Viola_magnifica
229,Viola_yezoensis
230,Viola_canadensis
231,Viola_rotundifolia
232,Viola_biflora
233,Viola_pubescens
234,Viola_hondoensis
235,Viola_collina
236,Viola_striata
237,Viola_hastata
238,Viola_stewardiana
239,Viola_grypoceras
240,Viola_mirabilis
241,Viola_sacchalinensis
242,Viola_acuminata
243,Viola_conspersa
244,Viola_websteri
245,Viola_bicolor
246,Viola_diamantiaca
247,Viola_rossii
248,Viola_moupinensis
249,Viola_verecunda
250,Viola_triangulifolia
251,Viola_palmata
252,Viola_sororia
253,Viola_pedatifida_subsp._brittoniana
254,Viola_cucullata
255,Viola_macloskeyi
256,Viola_lanceolata
