Original list,Site,Name back,Note
Alisma_plantago.aquatica,CBS,Alisma_plantago-aquatica,Hyphen
Amianthium_muscaetoxicum,TALL,Amianthium_muscitoxicum,Typos
Amianthium_muscatoxicum,CWHL,Amianthium_muscitoxicum,Typos
Ampelopsis_brevipedunculata,HARV,Ampelopsis_delavayana,Syn.
Amphicarpa_bracteata,CWHL,Amphicarpaea_bracteata,Typos
Anemone_rivularis_var._flore.minore,DLS,Anemone_rivularis_var._flore-minore,Hyphen
Aphyllon_uniflorum,MLBS,Orobanche_uniflora,Syn.
Arabis_canadensis,CWHL,Boechera_canadensis,Syn.
Arabis_glabra,HARV,Turritis_glabra,Syn.
Arundinara_gigantea,TALL,Arundinaria_gigantea,Typos
Aster_acuminatus,HARV,Oclemena_acuminata,Syn.
Aster_cordifolius,HARV,Symphyotrichum_cordifolium,Syn.
Aster_lateriflorus,HARV,Symphyotrichum_lateriflorum,Syn.
Aster_linariifolius,HARV,Ionactis_linariifolia,Syn.
Aster_macrophyllus,HARV,Eurybia_macrophylla,Syn.
Aster_novae-angliae,HARV,Symphyotrichum_novae-angliae,Syn.
Aster_paternus,HARV,Sericocarpus_asteroides,Syn.
Aster_pilosus,HARV,Symphyotrichum_pilosum,Syn.
Aster_puniceus,HARV,Symphyotrichum_puniceum,Syn.
Aster_umbellatus,HARV,Doellingeria_umbellata,Syn.
Aster_undulatus,HARV,Symphyotrichum_undulatum,Syn.
Bidens_frondosus,HARV,Bidens_frondosa,Typos
Bidens_vulgatus,HARV,Bidens_vulgata,Typos
Brachyelytrum_erectun,CWHL,Brachyelytrum_erectum,Typos
Bromus_purqans,CWHL,Bromus_kalmii,Typos
Buchneria_floridana,TALL,Buchnera_floridana,Typos
Capsella_bursa.pastoris,CBS,Capsella_bursa-pastoris,Hyphen
Capsella_bursa.pastoris,DLS,Capsella_bursa-pastoris,Hyphen
Capsella_bursa.pastoris,GTS,Capsella_bursa-pastoris,Hyphen
Capsella_bursa.pastoris,TMS,Capsella_bursa-pastoris,Hyphen
Carex_atlantica_var._capillacea,HARV,Carex_atlantica_subsp._capillacea,Syn.
Carex_crinata,CWHL,Carex_crinita,Typos
Carex_Lurida,CWHL,Carex_lurida,Typos
Carex_pensylvanica,HARV,Carex_pensyLvanica,Typos
Carya_glabra_var._glabra,TALL,Carya_glabra,Syn.
Chimaphilia_maculata,CWHL,Chimaphila_maculata,Typos
Chrysosplenium_lectus.cochleae,CBS,Chrysosplenium_lectus-cochleae,Hyphen
Clintonia_umbellata,CWHL,Clintonia_umbellulata,Typos
Coeloglossum_viride,HARV,Dactylorhiza_viridis,Syn.
Coix_lacryma.jobi,GTS,Coix_lacryma-jobi,Hyphen
Coix_lacryma.jobi,TMS,Coix_lacryma-jobi,Hyphen
Convalaria_majalis,HARV,Convallaria_majalis,Typos
Conyza_canadensis,HARV,Erigeron_canadensis,Syn.
Conyza_canadensis,OSBS,Erigeron_canadensis,Syn.
Cornus_florida_L._,CWHL,Cornus_florida,Typos
